Year,Month,Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm)
1901,1,-4.7,7.2,-23.9,19.8,42.9
1901,2,-8.5,1.1,-18.9,0,36.6
1901,3,-1.2,7.2,-17.8,35.3,34.5
1901,4,8,23.3,-1.1,78.5,22.4
1901,5,12.5,25.6,0.6,88.6,0
1901,6,18.5,35.6,5,52.6,0
1901,7,22.9,34.4,11.7,85.9,0
1901,8,20.7,31.1,10,98.6,0
1901,9,16.6,31.1,2.2,77.5,0
1901,10,9.4,22.8,-2.2,14.7,0
1901,11,1.4,16.1,-9.4,33.8,8.1
1901,12,-3,13.9,-17.8,56.6,35.1
1902,1,-4.8,5,-17.2,1.5,64.5
1902,2,-6,7.2,-17.2,23.4,14.7
1902,3,3.1,13.9,-10.6,55.1,8.9
1902,4,6.7,24.4,-3.3,54.6,0.5
1902,5,11.9,26.7,-1.7,48.3,0
1902,6,15.6,27.2,3.3,90.7,0
1902,7,20.5,32.8,10,110.7,0
1902,8,18.6,29.4,8.3,60.5,0
1902,9,15.7,26.1,3.3,85.3,0
1902,10,9.3,20,-3.3,70.9,0
1902,11,6.1,18.3,-8.9,24.9,18.3
1902,12,-4.2,7.8,-19.4,38.4,18
1903,1,-5,6.7,-20.6,17,51.8
1903,2,-3.5,7.8,-21.1,38.4,33
1903,3,4.3,20,-8.9,46,0.5
1903,4,6.6,24.4,-10,87.9,7.6
1903,5,13.3,28.3,-1.7,45.5,0.3
1903,6,16.6,31.1,6.7,84.6,0
1903,7,20.7,33.3,8.3,110.5,0
1903,8,17.7,28.3,8.3,93.2,0
1903,9,16.2,28.9,1.1,10.4,0
1903,10,10.5,23.3,-2.2,67.6,3
1903,11,1.7,21.1,-14.4,25.7,6.6
1903,12,-5.1,3.9,-23.3,26.7,24.1
1904,1,-8.9,4.4,-26.1,13.2,47.5
1904,2,-10.4,5.6,-23.9,27.7,48.5
1904,3,-1.9,10.6,-15.6,58.9,15.2
1904,4,4,14.4,-7.2,67.1,11.9
1904,5,13.2,26.1,1.1,96.5,0
1904,6,17.3,28.9,6.1,70.4,0
1904,7,19.7,33.9,7.8,130.3,0
1904,8,18.3,28.9,7.2,116.1,0
1904,9,14.8,26.1,1.1,101.3,0
1904,10,7.8,21.7,-5,61.5,1.5
1904,11,2.2,14.4,-12.2,2,0.8
1904,12,-5.4,9.4,-17.2,18.8,18
1905,1,-7.8,5.6,-21.7,16,67.3
1905,2,-8.6,3.3,-22.2,1.5,34.8
1905,3,-0.8,17.8,-14.4,8.6,4.3
1905,4,5.7,19.4,-4.4,27.4,8.9
1905,5,11.5,24.4,0,82,0
1905,6,17.6,29.4,4.4,81,0
1905,7,21,33.3,10.6,119.9,0
1905,8,19.7,31.7,9.4,107.2,0
1905,9,16.8,28.3,0,43.9,0
1905,10,9.4,25.6,-3.9,88.6,0
1905,11,2.7,12.2,-10.6,38.1,7.1
1905,12,-0.4,7.8,-13.9,42.4,15.5
1906,1,-0.6,13.9,-15,33.5,10.9
1906,2,-5.4,11.7,-24.4,11.2,9.1
1906,3,-2.8,9.4,-18.3,33.5,31.2
1906,4,7.1,22.2,-3.3,38.1,2.8
1906,5,12.4,30,-0.6,63.8,0
1906,6,18.7,32.8,5.6,98.3,0
1906,7,21.2,33.3,10.6,86.6,0
1906,8,22.1,31.7,11.1,46.5,0
1906,9,18.3,32.2,5.6,93.2,0
1906,10,9.6,22.8,-3.3,107.2,7.1
1906,11,3,15,-5.6,40.9,2
1906,12,-4.9,9.4,-22.2,39.1,32.5
1907,1,-5.5,10.6,-23.3,58.9,45.7
1907,2,-7.5,4.4,-22.2,3.8,18
1907,3,1,17.8,-15,45.7,8.4
1907,4,3.6,21.1,-7.8,50,3
1907,5,9,24.4,-3.3,45,4.1
1907,6,17.7,30.6,6.7,53.8,0
1907,7,20.7,32.2,8.9,51.6,0
1907,8,18.5,30.6,8.9,27.7,0
1907,9,16.5,28.3,4.4,121.9,0
1907,10,7.2,21.7,-4.4,50.3,0
1907,11,2.8,10.6,-7.2,87.1,2.3
1907,12,-1.4,8.3,-13.9,76.7,50.5
1908,1,-4.3,5.6,-25.6,15.5,48.3
1908,2,-7.1,6.7,-27.8,29.7,66.3
1908,3,-0.3,17.8,-13.3,23.4,15.7
1908,4,5.5,23.9,-7.8,43.9,15.2
1908,5,13.5,28.9,-1.7,117.6,0.3
1908,6,19,31.1,6.1,75.4,0
1908,7,21.6,33.3,11.1,74.4,0
1908,8,19.4,33.3,6.1,71.9,0
1908,9,17.7,32.2,2.8,33,0
1908,10,10.8,25.6,-2.2,25.7,0
1908,11,4.3,17.8,-5.6,31.5,9.4
1908,12,-1.6,13.9,-14.4,9.9,42.4
1909,1,-3.2,13.9,-19.4,22.4,45.2
1909,2,-3,7.8,-22.8,41.4,39.4
1909,3,-1.1,8.3,-13.9,30,40.4
1909,4,5,18.3,-8.9,124.5,13
1909,5,12.1,27.8,-0.6,94.5,2
1909,6,18.6,32.2,6.1,30.7,0
1909,7,19.9,30.6,8.9,88.4,0
1909,8,20.7,35.6,7.8,33.8,0
1909,9,15.7,31.7,5,49.8,0
1909,10,7.9,25,-6.1,28.7,0.3
1909,11,4.8,17.8,-10,79.8,5.8
1909,12,-3.3,7.2,-20.6,37.8,29.5
1910,1,-3.7,5,-21.7,38.6,50.5
1910,2,-6.1,6.1,-23.3,20.3,61.5
1910,3,3.8,23.9,-11.1,14.7,2
1910,4,8.3,23.3,-2.8,125,3.3
1910,5,11.5,26.7,0,69.9,0
1910,6,18.2,33.9,5,27.4,0
1910,7,21.8,33.9,11.1,99.1,0
1910,8,19.8,29.4,8.9,77.7,0
1910,9,15.6,27.2,3.9,101.1,0
1910,10,10.7,22.8,-3.9,56.6,0
1910,11,2.3,13.9,-3.3,40.4,24.4
1910,12,-6,3.9,-21.7,5.3,38.9
1911,1,-3.4,6.7,-18.9,30.7,22.4
1911,2,-3.6,8.9,-15,4.8,49
1911,3,-1.1,12.8,-17.2,34.8,17.3
1911,4,6.3,24.4,-8.9,36.6,3.3
1911,5,16.3,32.8,-1.7,50.5,0.5
1911,6,18.7,33.3,8.3,38.6,0
1911,7,22,39.4,8.9,66.5,0
1911,8,20.8,32.2,8.3,61.5,0
1911,9,15.9,30.6,1.1,65.3,0
1911,10,9.8,23.9,-2.8,87.9,3
1911,11,2.2,16.7,-7.8,80.3,17
1911,12,1.1,12.8,-12.8,51.6,21.1
1912,1,-10.1,3.9,-24.4,22.6,52.8
1912,2,-7.3,7.8,-28.3,0.5,41.9
1912,3,-3.5,9.4,-15.6,2.8,47.2
1912,4,5.5,21.7,-7.2,52.3,10.7
1912,5,13,27.8,0,150.1,0.3
1912,6,16.8,31.7,2.8,44.5,0
1912,7,21,33.3,7.8,49.5,0
1912,8,17.8,29.4,5.6,101.1,0
1912,9,17.1,33.9,2.2,83.6,0
1912,10,10.4,23.3,-1.1,59.7,0
1912,11,4.7,15,-5,55.1,5.6
1912,12,0.4,13.3,-11.7,31,16
1913,1,-0.3,11.1,-15.6,81.5,29.5
1913,2,-6.5,11.7,-18.3,11.9,17.8
1913,3,0.8,17.8,-18.9,72.1,31.5
1913,4,7.9,25,-2.2,88.6,0.5
1913,5,12.4,30.6,-1.1,26.7,0
1913,6,18.2,35,3.3,34.5,0
1913,7,21.3,35,10,67.8,0
1913,8,20.4,33.3,5.6,57.9,0
1913,9,15.3,29.4,2.2,24.9,0
1913,10,10.9,27.2,-2.8,62.5,0
1913,11,5.7,17.8,-2.8,95.5,2
1913,12,0.8,12.2,-14.4,12.2,14.2
1914,1,-3.6,12.2,-30,10.7,76.7
1914,2,-9.1,7.2,-27.8,15,32.5
1914,3,-0.8,12.8,-15,31.5,30
1914,4,5.3,19.4,-5.6,46.2,2.5
1914,5,14.8,30.6,1.7,38.4,0
1914,6,18,32.8,3.3,55.1,0
1914,7,21.4,33.9,8.9,25.4,0
1914,8,20.1,33.3,8.9,132.3,0
1914,9,16.2,30.6,2.8,39.4,0
1914,10,11.6,26.1,-3.3,39.4,0
1914,11,3.4,16.7,-10.6,64,8.4
1914,12,-3.5,12.2,-21.7,5.8,38.6
1915,1,-4.7,8.3,-18.3,33.3,69.1
1915,2,-3.3,5.6,-16.1,32.8,21.8
1915,3,-1.1,9.4,-11.7,2.5,18.8
1915,4,10,28.9,-2.8,31.8,1.3
1915,5,11.2,23.3,0.6,40.9,0
1915,6,16.9,27.8,6.1,34,0
1915,7,20.3,30.6,10.6,114.6,0
1915,8,19.1,31.1,4.4,206.8,0
1915,9,17.5,30.6,-0.6,107.7,0
1915,10,11.1,23.3,-1.1,55.6,0
1915,11,4.9,16.1,-4.4,40.6,7.4
1915,12,-2.4,5,-12.2,19.6,44.5
1916,1,-1,11.7,-17.2,55.9,7.9
1916,2,-7.3,6.7,-22.8,0,62.7
1916,3,-3.7,13.9,-18.9,22.4,47.2
1916,4,7,20.6,-3.9,77.7,4.8
1916,5,12.4,27.2,2.2,142.2,0
1916,6,15.7,25.6,4.4,109.5,0
1916,7,24.5,37.8,12.2,9.1,0
1916,8,22.3,36.7,7.8,39.9,0
1916,9,16.2,32.2,1.7,42.4,0
1916,10,9.8,29.4,-1.1,100.1,0
1916,11,3.2,17.8,-11.1,25.7,16.3
1916,12,-2.8,12.8,-15,19.6,32
1917,1,-5.2,4.4,-22.8,30,45.5
1917,2,-8.3,7.2,-23.9,7.6,15.2
1917,3,0.1,17.2,-13.9,33.3,25.9
1917,4,5.1,18.3,-6.7,79.8,5.8
1917,5,9.7,25.6,1.1,70.1,0
1917,6,16.1,28.3,5,127.3,0
1917,7,21.4,36.7,9.4,91.2,0
1917,8,19.9,33.3,7.8,113,0
1917,9,14.8,27.2,2.2,16.8,0
1917,10,7,16.7,-1.7,121.2,0.5
1917,11,1.4,12.8,-12.2,26.9,5.3
1917,12,-6.9,5.6,-27.2,2.5,58.4
1918,1,-10.4,0.6,-22.2,0,58.4
1918,2,-6,9.4,-28.9,73.4,30.5
1918,3,0.9,19.4,-14.4,25.1,26.4
1918,4,6.5,20.6,-5,33.8,2
1918,5,14,27.8,-1.1,67.3,0
1918,6,16.4,31.7,3.9,99.8,0
1918,7,20.9,33.3,8.9,43.9,0
1918,8,21.7,38.9,8.9,105.4,0
1918,9,13.6,27.2,3.9,118.1,0
1918,10,10.8,22.8,-1.1,72.4,0
1918,11,5.6,18.9,-7.8,29.5,7.4
1918,12,-0.4,10.6,-10,43.2,38.1
1919,1,-1.5,8.3,-17.2,15.5,10.9
1919,2,-2.1,11.7,-12.2,35.8,12.7
1919,3,1,13.3,-13.9,64,17.3
1919,4,5.9,17.2,-12.2,67.1,6.6
1919,5,13,33.3,3.9,130.8,0
1919,6,22.5,34.4,8.3,69.1,0
1919,7,22.9,36.7,11.1,81.3,0
1919,8,20,33.3,8.9,55.1,0
1919,9,17.5,35,3.9,48.5,0
1919,10,11.7,26.7,0,75.7,0
1919,11,3.5,17.8,-8.9,40.4,1
1919,12,-5.2,9.4,-21.7,1,24.4
1920,1,-10.6,2.8,-27.8,0,61.5
1920,2,-6.6,7.8,-22.8,0.3,39.9
1920,3,1,18.9,-18.3,43.7,15
1920,4,4.6,15.6,-7.8,67.8,15
1920,5,12.5,28.3,-0.6,9.9,0
1920,6,18.8,33.9,7.8,73.7,0
1920,7,19.2,30.6,6.7,92.5,0
1920,8,21.1,31.7,8.9,25.7,0
1920,9,17.7,30.6,2.8,50.8,0
1920,10,12.8,27.2,0.6,92.7,0.8
1920,11,2.7,16.7,-6.7,66.5,27.7
1920,12,-0.3,10.6,-12.2,48,29.2
1921,1,-2.3,11.7,-20.6,6.9,10.2
1921,2,-2,11.7,-13.9,4.8,29.5
1921,3,3.7,21.1,-13.9,51.1,2.5
1921,4,9.6,23.9,-3.3,115.6,9.1
1921,5,14.6,30.6,0.6,48,0
1921,6,20.4,32.8,7.2,54.6,0
1921,7,25.5,36.7,15,67.6,0
1921,8,20.1,32.8,8.3,52.6,0
1921,9,19.9,33.3,6.1,32.3,0
1921,10,10.2,22.2,0.6,113.3,0
1921,11,2.4,16.7,-6.1,17.8,19.1
1921,12,-2,11.1,-17.8,43.9,17.3
1922,1,-4.8,7.8,-18.3,12.2,22.9
1922,2,-3.1,8.9,-21.7,43.2,31.8
1922,3,1.3,14.4,-10.6,52.1,29.5
1922,4,7.5,25.6,-3.9,91.4,0.5
1922,5,15.4,26.7,1.7,37.1,0
1922,6,19.3,32.8,7.2,125,0
1922,7,20.9,30.6,10,75.4,0
1922,8,20.6,33.9,8.9,37.3,0
1922,9,17.6,33.9,1.7,75.9,0
1922,10,9.9,28.3,-3.9,24.4,0
1922,11,4.9,16.1,-6.1,24.1,13.5
1922,12,-2,15.6,-14.4,14,30
1923,1,-5.7,6.1,-24.4,7.9,72.4
1923,2,-7.3,6.1,-20.6,0.3,26.7
1923,3,-2.7,10.6,-16.1,26.7,52.1
1923,4,5.8,27.2,-15,52.6,6.4
1923,5,11,28.3,-2.8,90.4,3.8
1923,6,19.2,35.6,6.7,107.7,0
1923,7,20.6,33.3,10.6,43.7,0
1923,8,18.8,32.2,6.1,90.9,0
1923,9,16,29.4,2.8,67.8,0
1923,10,9.4,20.6,0,41.9,0.3
1923,11,3.9,14.4,-5.6,78.7,5.1
1923,12,2.3,11.7,-7.8,62.7,14
1924,1,-4.8,6.1,-21.1,59.7,64.5
1924,2,-6.5,3.9,-18.9,0.8,82.3
1924,3,-0.2,10.6,-12.2,13,6.9
1924,4,6,18.9,-7.2,55.9,8.9
1924,5,10.1,21.1,-1.1,112.3,0
1924,6,17.2,27.8,3.9,44.2,0
1924,7,19.6,31.1,8.9,106.2,0
1924,8,19.4,32.2,8.9,99.8,0
1924,9,13.9,27.2,3.3,107.4,0
1924,10,10.3,22.2,-0.6,15.7,0
1924,11,3.9,20,-10.6,21.3,2.8
1924,12,-4.5,11.7,-18.9,30.2,29.2
1925,1,-6.5,4.4,-23.9,0,50.8
1925,2,-2.6,10,-16.7,67.1,24.4
1925,3,1.7,16.7,-17.2,54.1,18.5
1925,4,7.4,26.1,-3.9,30.2,4.1
1925,5,10.5,27.2,-1.1,31,0
1925,6,19.3,35,5.6,53.3,0
1925,7,19.8,31.1,7.8,99.3,0
1925,8,20.5,31.1,8.9,52.8,0
1925,9,16.5,30,2.2,97.3,0
1925,10,5.8,18.3,-4.4,56.1,10.7
1925,11,3.2,13.3,-9.4,92.2,4.3
1925,12,-3.1,8.9,-25.6,9.1,20.1
1926,1,-4.1,7.8,-20.6,13.2,47.8
1926,2,-6.1,4.4,-17.2,24.9,46.7
1926,3,-3.3,8.9,-18.3,51.8,21.8
1926,4,3,22.2,-8.9,61.7,11.7
1926,5,11.6,26.7,-1.7,32.8,0
1926,6,15.4,28.3,3.3,88.1,0
1926,7,19.9,32.8,7.8,45,0
1926,8,20.3,30,10,155.4,0
1926,9,15.1,26.7,2.2,145.3,0
1926,10,8.4,26.1,-1.1,81.3,0.3
1926,11,3.1,17.2,-9.4,95.5,1.8
1926,12,-4.5,6.1,-19.4,8.9,27.7
1927,1,-6,6.7,-27.2,12.4,27.4
1927,2,-2.8,8.3,-13.3,9.1,42.7
1927,3,1.8,15,-12.2,44.7,12.7
1927,4,6.4,23.3,-3.9,23.1,3
1927,5,11.5,32.2,1.7,81.5,0
1927,6,16.5,35,3.9,64,0
1927,7,20.5,32.8,8.3,149.1,0
1927,8,18.2,29.4,8.9,37.3,0
1927,9,17.5,31.1,3.9,28.2,0
1927,10,11.7,25,1.7,55.6,0
1927,11,5,20.6,-5.6,105.2,10.2
1927,12,-1.6,12.2,-13.3,66.8,7.6
1928,1,-3.8,6.7,-17.2,34.8,23.4
1928,2,-4.4,6.1,-20,34.5,8.4
1928,3,-0.8,21.7,-12.8,26.7,29.5
1928,4,5.4,22.2,-5,48.3,17.3
1928,5,12.3,27.8,0.6,18.3,0
1928,6,16.4,27.2,3.9,100.8,0
1928,7,21.1,32.2,11.1,143.3,0
1928,8,21.5,32.2,11.1,126.7,0
1928,9,14.3,26.7,0.6,72.4,0
1928,10,10.5,28.9,-5,74.7,0
1928,11,4.3,18.3,-8.9,105.9,2.3
1928,12,0.5,8.3,-10.6,26.4,4.3
1929,1,-5,7.2,-18.3,102.1,36.6
1929,2,-5.6,6.1,-19.4,4.1,33.8
1929,3,2.7,18.3,-15.6,81.8,8.1
1929,4,7.6,23.3,-6.1,154.4,0.3
1929,5,11.7,32.8,0.6,95.5,0.3
1929,6,17.7,33.3,2.8,36.8,0
1929,7,20.4,32.8,7.8,112.5,0
1929,8,18.6,31.1,9.4,49.3,0
1929,9,16.8,34.4,2.8,19.8,0
1929,10,9.2,22.2,-2.2,62,0
1929,11,3.3,16.1,-14.4,81.5,2.8
1929,12,-3.7,5,-14.4,1.8,56.4
1930,1,-5.2,8.3,-20,51.3,33.3
1930,2,-2.9,12.8,-21.1,29.2,28.7
1930,3,-0.6,10.6,-9.4,54.6,26.7
1930,4,6.1,21.7,-3.9,30.2,1
1930,5,14.2,30.6,1.7,70.4,0
1930,6,19.4,32.8,7.8,61.7,0
1930,7,21.2,33.3,10,78.7,0
1930,8,20.7,35,7.8,22.6,0
1930,9,17.4,30.6,3.9,71.9,0
1930,10,9.5,23.9,-2.8,47,0.5
1930,11,5,16.1,-10.6,15,2.3
1930,12,-1.8,7.2,-17.2,13.2,16.3
1931,1,-4,7.2,-17.8,9.4,57.2
1931,2,-3,6.1,-17.8,4.6,24.1
1931,3,0.8,8.9,-7.2,27.7,43.9
1931,4,7.1,25.6,-2.2,39.1,9.1
1931,5,13.3,28.9,-1.1,48,0
1931,6,18.9,32.8,6.1,54.9,0
1931,7,23.1,36.7,12.2,78.7,0
1931,8,20.8,33.3,7.8,53.3,0
1931,9,18.9,35.6,5.6,55.4,0
1931,10,11.8,25,1.1,50.5,0
1931,11,7.7,18.9,-2.2,60.5,1.5
1931,12,0.8,10.6,-11.7,60.2,16
1932,1,1.9,13.3,-10.6,135.1,38.6
1932,2,-1.3,10.6,-12.8,36.1,34
1932,3,-1.6,14.4,-15,3.8,37.1
1932,4,5,24.4,-6.7,44.5,22.1
1932,5,12.9,28.3,0,81,0
1932,6,19.2,28.3,6.7,25.4,0
1932,7,19.9,30.6,10,90.4,0
1932,8,21,35,10.6,105.9,0
1932,9,16.7,30.6,3.3,77.2,0
1932,10,10.8,22.8,0.6,54.4,0.8
1932,11,2.1,15,-13.3,73.9,19.8
1932,12,-0.9,13.9,-16.7,52.1,8.4
1933,1,0.9,12.8,-15,35.8,5.3
1933,2,-3.3,7.8,-21.1,25.1,16
1933,3,-0.2,10,-12.8,31,13
1933,4,7.3,21.7,-2.8,62.7,2
1933,5,14.2,28.3,2.2,28.4,0
1933,6,19.8,33.3,6.1,46.7,0
1933,7,22.8,36.7,12.2,38.9,0
1933,8,20.7,34.4,11.7,61.2,0
1933,9,17.1,32.2,3.9,34.3,0
1933,10,8.9,20.6,-5.6,57.4,0
1933,11,-0.2,16.1,-13.9,36.3,37.3
1933,12,-4.3,10,-30,27.7,46.2
1934,1,-3.5,6.1,-22.8,25.9,12.7
1934,2,-12.1,1.1,-29.4,0,23.6
1934,3,-2.2,11.7,-17.2,40.4,27.4
1934,4,5.6,21.7,-2.8,61.5,4.8
1934,5,14.3,30,1.1,11.9,0
1934,6,20,34.4,9.4,69.9,0
1934,7,22,33.9,12.2,40.1,0
1934,8,18.7,31.7,7.2,25.7,0
1934,9,17.2,25.6,6.7,107.7,0
1934,10,9.3,22.8,-2.2,33.3,0.5
1934,11,5.7,17.2,-3.9,78.7,0
1934,12,-3.6,7.2,-17.8,22.9,40.1
1935,1,-6.3,7.8,-23.9,46.5,30.5
1935,2,-5.4,8.9,-20.6,21.8,38.9
1935,3,2,20,-12.2,25.9,5.8
1935,4,6.5,20,-3.9,18.5,5.6
1935,5,11.2,26.1,0,43.2,0
1935,6,17.7,28.3,5.6,86.9,0
1935,7,23.3,33.9,13.9,91.2,0
1935,8,21.1,31.7,7.8,11.4,0
1935,9,14.9,27.8,0.6,81.3,0
1935,10,10.2,26.1,-2.8,39.9,0
1935,11,4.4,17.8,-9.4,79.5,1.3
1935,12,-5.2,6.7,-21.1,15.2,37.3
1936,1,-5.3,5,-18.9,24.1,30.2
1936,2,-8.1,8.3,-19.4,17.3,49
1936,3,1.4,16.1,-14.4,50.5,52.8
1936,4,4.3,17.8,-4.4,71.6,4.6
1936,5,14.9,32.2,0,18.3,0
1936,6,18.3,30.6,8.9,73.9,0
1936,7,22.9,40.6,11.1,19.6,0
1936,8,20.6,36.1,10,44.5,0
1936,9,17.1,30.6,2.8,73.7,0
1936,10,9.5,22.8,-6.1,61.5,0.8
1936,11,1.4,17.8,-16.1,20.8,12.2
1936,12,-0.3,11.7,-15,66,19.6
1937,1,-0.5,11.7,-11.7,125.2,6.4
1937,2,-2.2,10,-15,48.3,7.9
1937,3,-1.9,7.2,-12.8,14.5,23.1
1937,4,6.3,18.3,-1.7,101.9,0.3
1937,5,13.7,29.4,3.3,73.7,0
1937,6,18.9,28.9,8.9,92.5,0
1937,7,21.9,35,8.3,74.2,0
1937,8,22.6,31.7,11.7,73.4,0
1937,9,15.7,32.2,2.8,35.3,0
1937,10,8.7,25.6,-1.7,69.3,0.5
1937,11,3.7,15,-6.7,45.7,0
1937,12,-2.5,6.1,-16.7,19.3,23.6
1938,1,-5.4,8.3,-20,16.8,24.6
1938,2,-2.7,10.6,-20,82.8,9.1
1938,3,2.2,22.8,-20.6,33.8,7.9
1938,4,8,28.3,-6.7,31.8,12.7
1938,5,12.9,25.6,2.2,54.6,0
1938,6,18.8,31.1,8.3,37.8,0
1938,7,22.2,33.3,11.7,66.5,0
1938,8,22.8,33.3,11.7,52.3,0
1938,9,15,27.8,5.6,101.1,0
1938,10,11.2,27.8,0.6,26.2,0
1938,11,5.1,20.6,-10,32.5,4.3
1938,12,-0.6,10.6,-12.8,20.8,35.8
1939,1,-4.6,11.1,-22.8,7.6,49.5
1939,2,-4,7.8,-21.7,41.4,50.5
1939,3,-1.8,11.1,-15.6,30,50
1939,4,4.8,24.4,-4.4,67.6,19.6
1939,5,14.4,30,1.7,37.8,0
1939,6,18.7,31.7,8.3,48.5,0
1939,7,22.2,33.9,10,43.7,0
1939,8,22.4,30.6,14.4,105.9,0
1939,9,16.6,33.3,5,64,0
1939,10,10.2,24.4,-1.7,48,0
1939,11,2.8,16.7,-6.7,8.1,0
1939,12,-0.3,9.4,-15,24.1,7.4
1940,1,-7.5,6.7,-21.1,20.1,29.7
1940,2,-4.2,5,-16.7,0.3,38.9
1940,3,-3.2,9.4,-14.4,21.8,35.1
1940,4,5.3,19.4,-7.2,55.1,10.4
1940,5,12.3,25,3.3,127.3,0
1940,6,17.4,31.7,6.1,94.7,0
1940,7,21.6,33.9,8.9,41.1,0
1940,8,20.6,30.6,7.2,67.6,0
1940,9,16.3,30.6,3.3,93.7,0
1940,10,8.9,23.9,-2.8,44.5,0
1940,11,3.4,17.8,-9.4,80,42.2
1940,12,-1.2,9.4,-18.9,84.6,11.9
1941,1,-5.3,4.4,-19.4,23.9,41.7
1941,2,-4.5,7.8,-15,8.1,27.4
1941,3,-2.7,7.2,-17.8,14.7,26.2
1941,4,10.4,27.8,-1.1,33,0
1941,5,14.8,32.2,2.8,57.9,0
1941,6,20.5,34.4,7.2,40.1,0
1941,7,22.3,35,11.1,122.2,0
1941,8,20.1,33.9,8.3,49.3,0
1941,9,17.5,28.9,3.3,21.3,0
1941,10,11.1,26.7,0,95,0
1941,11,5.7,18.9,-3.3,56.6,0
1941,12,0.2,15,-13.9,21.8,16
1942,1,-4,8.3,-22.2,41.4,11.9
1942,2,-6.2,3.9,-20,15.2,33.5
1942,3,2.4,12.8,-4.4,85.9,14.2
1942,4,9.9,29.4,-2.2,30,14
1942,5,13.6,27.8,1.1,172.5,0
1942,6,19,31.7,7.8,33.8,0
1942,7,21.3,32.2,10,145.5,0
1942,8,20.7,31.1,7.2,29.5,0
1942,9,16.4,30,1.7,92.7,0
1942,10,10.8,22.2,-0.6,73.4,0
1942,11,4.4,17.8,-9.4,54.4,14.5
1942,12,-4,4.4,-27.2,68.6,37.1
1943,1,-6.9,3.9,-20,6.1,68.3
1943,2,-3.5,11.7,-29.4,39.1,20.3
1943,3,-1.1,14.4,-17.2,87.1,23.9
1943,4,4,22.8,-8.9,62.5,20.3
1943,5,12.8,27.2,-1.1,116.3,0
1943,6,20.8,34.4,8.9,74.2,0
1943,7,21.9,31.1,9.4,76.5,0
1943,8,20.5,32.2,10.6,62.2,0
1943,9,15.6,32.2,3.3,35.8,0
1943,10,9.4,26.7,0.6,78.7,0
1943,11,3.3,12.8,-6.7,40.4,4.1
1943,12,-2.9,8.3,-21.1,10.4,2.8
1944,1,-1.1,11.1,-17.8,19.1,6.6
1944,2,-3.7,8.3,-16.7,5.8,49.5
1944,3,-1.9,14.4,-15.6,54.4,30
1944,4,4.8,21.1,-5.6,54.9,17
1944,5,15.6,29.4,3.9,97.5,0
1944,6,19.1,33.3,7.2,109.7,0
1944,7,22,32.8,12.2,79.8,0
1944,8,22.3,35.6,11.1,35.6,0
1944,9,16.8,28.3,3.3,54.1,0
1944,10,10.3,25.6,-1.7,13.2,0
1944,11,4.5,18.3,-2.8,38.4,10.7
1944,12,-3.4,8.3,-16.7,10.9,92.5
1945,1,-9.4,3.3,-25,0,45.7
1945,2,-3.4,7.2,-14.4,26.4,30.2
1945,3,6.2,23.3,-7.8,113,3.3
1945,4,8.7,23.9,-1.1,96.3,10.9
1945,5,10.3,25.6,1.1,137.2,0
1945,6,17.4,32.2,2.8,97.8,0
1945,7,20.6,31.1,6.7,74.4,0
1945,8,21,33.3,8.3,55.1,0
1945,9,16.8,31.1,1.7,158.5,0
1945,10,9.2,21.7,0,65,0
1945,11,4.4,18.9,-4.4,47.2,12.7
1945,12,-4.2,8.3,-19.4,38.6,18.5
1946,1,-3.4,13.9,-21.1,8.1,56.6
1946,2,-5.2,10,-19.4,28.7,54.6
1946,3,6.1,26.7,-7.2,30.5,1.5
1946,4,7.1,22.2,-2.2,21.1,3.3
1946,5,12.5,28.9,1.1,107.4,0
1946,6,18.3,32.2,5,52.1,0
1946,7,21.3,32.2,10.6,93,0
1946,8,19,30.6,8.9,48.5,0
1946,9,17.2,29.4,5,39.6,0
1946,10,12.3,27.8,1.1,87.1,0
1946,11,5.9,16.7,-3.3,37.3,13
1946,12,-1.5,14.4,-16.7,39.9,24.1
1947,1,-3,8.9,-17.8,39.9,59.9
1947,2,-5.4,6.1,-16.1,0.3,25.1
1947,3,-0.6,12.8,-11.1,29.2,36.6
1947,4,5.8,20,-2.8,59.4,12.7
1947,5,11.3,26.7,-1.1,85.3,0.5
1947,6,18.2,31.7,5.6,115.1,0
1947,7,21.1,32.2,10,143.3,0
1947,8,23,33.9,9.4,59.9,0
1947,9,17.5,31.1,1.7,45.5,0
1947,10,14.6,26.1,1.1,28.4,0
1947,11,3.8,14.4,-7.2,31.8,13
1947,12,-2.7,8.3,-13.9,26.2,34.5
1948,1,-7.3,3.9,-24.4,2.8,37.1
1948,2,-5,11.1,-18.3,31.8,48.5
1948,3,0.1,16.7,-18.3,49.3,16.3
1948,4,8.5,21.7,-3.9,49.5,0.3
1948,5,11.9,23.9,1.7,67.1,0
1948,6,18.8,29.4,7.2,103.1,0
1948,7,22,31.7,10.6,33.3,0
1948,8,21.7,38.3,11.1,22.6,0
1948,9,19,32.2,6.7,56.4,0
1948,10,9.4,20.6,-0.6,66.8,0
1948,11,7.5,18.3,-1.1,83.8,0
1948,12,-0.4,11.1,-18.3,21.8,42.2
1949,1,-1.6,11.1,-12.8,52.6,21.8
1949,2,-1.4,11.7,-15.6,41.7,30.5
1949,3,0.4,18.3,-12.2,22.4,32.5
